,id
88945,73020
88946,56482
88947,56438
88948,56481
88949,98200
88950,56480
88951,72905
88952,22450
88953,42140
88954,47898
88955,73181
88956,73031
88957,9992
88958,46490
88959,46480
88960,42718
88961,39160
88962,57900
88963,102700
88964,9880
88966,22520
88967,73014
88968,7530
88969,95700
88970,49470
88971,91810
88972,49604
88973,98210
88974,97000
88975,46760
88976,46830
88977,73035
88978,46840
88979,21100
88980,73037
88981,73036
88982,24635
88983,901679
88984,25810
88985,99100
88986,44660
88987,90209
88988,25809
88989,42903
88990,22631
88991,22634
88992,22633
88993,57656
88994,22632
88995,94590
88996,35425
88997,73192
88998,105700
88999,72750
89000,56538
89002,61100
89003,65228
89004,55205
89005,102200
89006,64013
89007,15522
89008,63802
89009,92302
89010,73183
89011,42210
89012,65790
89013,92803
89014,57690
89015,42220
89016,42230
89017,111000
89018,73193
89019,38740
89020,99612
89021,99614
89022,91604
89023,70120
89024,107200
89025,97108
89026,97106
89027,97107
89028,56487
89029,72760
89030,99910
89031,18070
89032,55150
89033,63940
89034,98400
89035,73194
89036,46520
89037,22230
89038,35450
89040,73185
89041,49473
89042,73210
89043,110600
89044,200080
89045,200440
89046,111400
89047,57923
89049,9420
89050,113200
89051,90208
89052,200230
89053,9350
89054,901776
89055,201100
89056,80202
89057,80204
89058,34842
89059,95900
89060,80207
89061,45770
89062,18080
89063,200670
89064,108210
89065,65231
89066,115100
89067,47930
89068,41816
89069,201480
89071,200130
89072,201490
89073,65610
89074,43190
89075,102622
89076,39270
89077,24200
89079,57696
89080,71340
89081,202670
89082,102623
89083,115300
89084,110800
89085,110810
89086,64016
89088,94202
89091,202521
89092,61310
89093,73092
89094,91100
89095,73091
89096,34345
89097,201272
89098,73058
89099,25812
89101,46350
89103,202200
89104,24083
89105,113400
89106,80340
89108,64017
89109,35429
89110,201510
89111,201877
89112,203700
89113,57695
89114,23530
89115,49475
89116,55344
89117,55341
89118,98820
89119,55340
89120,49337
89121,55343
89123,201310
89124,35720
89125,204381
89128,203990
89129,204030
89130,200620
89131,202452
89132,204380
89133,55395
89134,200610
89135,55471
89136,55473
89137,55472
89138,55470
89139,55347
89140,23553
89142,23551
89145,23550
89146,200390
89147,65244
89148,24480
89149,24488
89150,204340
89151,203510
89152,9900
89153,204386
89154,204385
89155,57740
89156,204390
89157,42968
89158,105800
89160,111100
89161,203210
89164,205160
89165,203770
89166,203772
89167,203773
89168,92620
89170,108710
89171,24065
89172,73039
89173,10220
89174,108110
89176,200210
89177,42905
89178,55381
89179,204440
89180,205690
89181,201882
89182,207490
89185,65249
89186,206710
89187,108500
89188,206690
89189,205830
89190,108726
89191,47932
89192,115110
89193,203560
89194,65246
89195,65253
89196,207420
89197,73060
89198,207790
89199,207710
89200,204388
89202,204382
89203,207250
89204,208110
89205,208540
89206,19320
89207,207320
89208,65733
89209,204180
89210,55382
89211,110630
89212,102850
89213,102510
89214,201271
89215,205840
89216,109500
89217,206416
89218,208630
89219,208640
89220,205630
89221,206610
89222,65252
89223,208541
89224,202310
89225,202690
89226,204560
89227,65255
89228,207430
89229,202524
89230,213530
89231,213390
89232,280720
89233,202370
89234,206881
89235,40390
89236,204383
89238,40392
89239,203750
89240,209370
89241,98300
89243,201277
89244,55397
89252,65258
89253,108232
89255,206714
89256,203344
89257,41014
89258,41019
89259,210230
89260,211800
89261,65256
89262,65218
89263,209100
89264,211010
89265,205530
89266,90207
89267,108230
89268,108200
89269,208281
89270,208284
89271,207350
89272,208545
89273,213370
89274,204100
89275,203766
89276,203765
89277,204182
89279,212500
89280,209790
89281,207080
89282,42170
89283,213330
89284,204900
89285,212160
89286,210561
89287,42696
89288,213030
89289,203830
89290,213195
89291,206480
89292,212630
89293,210893
89294,203778
89295,200010
89296,17080
89297,210933
89298,214170
89299,210892
89300,92622
89301,205550
89302,204384
89304,97368
89305,97364
89306,210041
89307,97371
89308,97369
89311,210056
89312,210057
89313,210062
89314,210055
89315,48231
89316,210039
89317,210038
89318,210037
89319,210036
89320,210035
89321,210052
89322,210043
89323,210064
89324,210063
89325,210065
89326,210067
89327,210066
89328,210069
89329,210072
89330,210073
89331,213350
89332,20828
89333,215200
89334,214980
89335,215160
89336,215000
89337,210068
89338,207650
89339,207380
89340,207655
89341,207400
89342,108233
89343,108700
89344,208355
89345,215243
89346,208365
89347,210931
89348,209270
89349,208283
89350,115120
89351,215241
89352,215240
89354,212010
89355,730
89357,208580
89358,217290
89359,207670
89360,208292
89361,208341
89362,208342
89363,216458
89364,216454
89365,216447
89366,216449
89367,216444
89368,72000
89369,216455
89370,216434
89371,216432
89372,216433
89373,216448
89374,216431
89375,216461
89376,216462
89377,206450
89378,200260
89379,206440
89380,214970
89381,216468
89382,61730
89383,214981
89384,33934
89385,205950
89386,97350
89387,204312
89388,204310
89389,204308
89390,204309
89391,204307
89392,204304
89393,48232
89394,210016
89395,210018
89396,210017
89397,210012
89398,210019
89399,210013
89401,205650
89402,214570
89403,65740
89404,100980
89405,205063
89406,209670
89407,217962
89408,205060
89409,213230
89410,97380
89411,97384
89412,97385
89413,97389
89414,97381
89415,206146
89416,97388
89417,97382
89418,215510
89419,208200
89420,207870
89421,215247
89422,215246
89423,222680
89424,210901
89425,206141
89426,206120
89427,206133
89428,206119
89429,206117
89430,206114
89431,206113
89432,206106
89433,206111
89434,206131
89435,206144
89436,206094
89437,206156
89438,206123
89439,206122
89440,206107
89441,206102
89442,206148
89443,206142
89444,206160
89445,206140
89446,206155
89447,206101
89448,206095
89449,206099
89450,205190
89451,219910
89452,218090
89453,215470
89454,206151
89455,206118
89456,223220
89457,205632
89458,200370
89459,209811
89460,219150
89462,215245
89463,215248
89464,204734
89465,209080
89466,4720
89467,219760
89468,73120
89469,219780
89470,206174
89471,206175
89472,223470
89474,203680
89475,220740
89476,216130
89477,113405
89478,208830
89479,200188
89480,205541
89481,207040
89482,223730
89483,222140
89484,200490
89485,215309
89486,215303
89487,215311
89488,202970
89489,202193
89490,215253
89491,220803
89492,216331
89493,220805
89494,220804
89495,220806
89496,220807
89497,215930
89498,216414
89499,216413
89500,216412
89501,216421
89502,216417
89503,216420
89504,223593
89505,223592
89506,223594
89507,208833
89508,208842
89509,208834
89510,208841
89511,200185
89512,208361
89513,223510
89514,209201
89515,225020
89516,209190
89517,44690
89518,24676
89519,221830
89520,227000
89521,222222
89522,222221
89523,212200
89524,209950
89525,224300
89526,224920
89527,224940
89528,208319
89529,224900
89530,208491
89531,215972
89532,222061
89533,105000
89534,222058
89535,219950
89536,65216
89537,226350
89538,214987
89539,214988
89540,209460
89541,205634
89542,222066
89543,222065
89544,222063
89545,222062
89547,225640
89548,65239
89549,209801
89550,218700
89551,220813
89552,220812
89553,211280
89554,220811
89555,70616
89556,222545
89557,215710
89558,203060
89559,228600
89560,41817
89561,222076
89562,226370
89563,219136
89564,225821
89565,225822
89566,22521
89567,225823
89568,225826
89569,225828
89570,225825
89571,209545
89572,209540
89573,221810
89574,228400
89575,219152
89576,220440
89577,18523
89578,227800
89579,230760
89581,206718
89582,222083
89583,222086
89584,222084
89585,222085
89586,222087
89587,210085
89588,210084
89589,210083
89590,231140
89591,210087
89592,210113
89593,226390
89594,224820
89595,215373
89596,228320
89597,209850
89598,222093
89599,222095
89600,222094
89601,227760
89603,222098
89604,222097
89605,222096
89606,212673
89607,229751
89608,222099
89610,223597
89611,222100
89612,222102
89613,222101
89614,223793
89615,222138
89616,233410
89617,213197
89618,209202
89619,226740
89620,230150
89621,207000
89622,230900
89623,222660
89624,222554
89625,220160
89626,223732
89627,216174
89628,232770
89629,221040
89630,232530
89631,223280
89632,234180
89633,234900
89634,208796
89635,208793
89636,208792
89637,208790
89638,208804
89639,208805
89640,208806
89641,208810
89642,234780
89643,208814
89644,233470
89645,233550
89646,222574
89647,230650
89648,227220
89649,222556
89650,98609
89651,228440
89652,235130
89653,230885
89654,234779
89655,234778
89656,234776
89657,222576
89658,234775
89659,227090
89660,227080
89661,234777
89662,233720
89663,203343
89664,230330
89665,227480
89666,232050
89667,222380
89668,215004
89669,229250
89670,215002
89671,232750
89672,234710
89673,220660
89674,235780
89675,210770
89676,234290
89677,234820
89679,208817
89680,208818
89681,208809
89682,230887
89683,208813
89684,222575
89685,222730
89686,219098
89687,227380
89688,235070
89689,209548
89690,235150
89691,222480
89692,229755
89693,210904
89694,226660
89695,210908
89696,219445
89697,219444
89698,219447
89699,222120
89700,219446
89701,229758
89702,228300
89703,208812
89704,208791
89705,229621
89706,229622
89707,214331
89708,228601
89709,229752
89710,236290
89711,208470
89712,222581
89713,236790
89714,237570
89715,238930
89716,235360
89717,231489
89718,231488
89719,231487
89720,231486
89721,231483
89722,208375
89723,230892
89724,238950
89725,208348
89726,219442
89727,208349
89728,230891
89729,231740
89730,229480
89731,235230
89732,213901
89733,226664
89734,226663
89735,2028850
89736,226662
89737,218550
89738,232647
89739,223598
89740,237030
89741,231430
89742,219624
89743,219623
89744,213892
89745,207011
89746,224160
89747,224161
89748,224163
89749,224165
89750,213894
89751,224162
89752,213890
89753,224167
89754,224168
89755,224164
89756,237110
89757,224166
89758,239370
89759,239380
89760,239800
89762,210945
89763,210944
89764,210943
89765,239660
89766,225360
89767,243360
89768,225160
89769,39140
89770,230691
89771,222589
89773,221167
89774,220285
89775,235580
89776,218065
89777,201420
89778,205080
89779,237590
89780,205083
89781,233370
89782,241320
89783,219443
89784,231463
89785,231455
89786,221166
89787,243442
89788,234650
89789,238870
89790,230890
89791,207010
89792,241410
89793,214991
89794,237550
89795,228960
89796,214990
89797,214930
89798,225429
89799,234080
89800,225428
89801,222285
89802,222284
89803,222283
89805,217140
89806,230690
89808,222590
89809,210870
89810,219101
89812,242630
89813,240280
89814,245810
89815,223770
89816,240300
89817,245580
89818,93304
89820,243950
89822,231485
89823,231477
89824,231484
89826,231040
89827,241620
89832,231465
89833,212894
89834,237630
89837,222591
89838,233840
89841,246562
89842,205637
89844,242570
89845,244870
89846,222593
89847,237800
89848,222594
89849,226720
89850,243780
89851,247292
89852,247291
89854,244070
89855,240340
89856,235140
89857,238900
89858,231459
89859,231482
89860,250110
89861,244710
89865,246800
89868,222595
89870,225430
89871,239820
89872,111915
89873,111914
89874,111916
89875,111912
89876,111913
89877,111911
89878,111900
89879,111910
89882,224140
89883,224141
89884,224143
89885,224144
89886,224145
89887,224180
89888,224142
89889,238320
89890,231310
89891,227600
89892,233592
89893,222596
89894,237050
89895,244060
89896,247294
89897,249102
89899,225431
89900,259020
89902,240611
89912,249930
89914,226960
89915,246980
89916,222571
89917,242780
89918,244810
89919,249310
89920,205635
89921,227310
89923,248350
89924,237740
89925,249680
89927,248470
89929,243450
89930,241364
89931,236450
89933,245030
89934,241368
89935,231479
89936,249101
89937,249870
89939,217920
89940,202652
89941,246251
89942,246252
89943,246253
89944,246255
89945,246256
89946,249105
89947,246250
89948,246257
89949,222602
89950,246254
89951,238301
89952,251370
89953,245220
89954,246050
89955,220260
89956,222599
89958,244930
89959,221910
89960,230692
89961,229290
89962,247140
89963,250320
89965,253900
89967,251310
89968,250460
89969,231720
89970,242820
89971,222606
89973,222611
89974,244690
89975,251410
89976,205636
89977,245390
89978,250500
89979,214730
89980,257220
89981,241910
89982,248190
89983,238010
89984,238430
89985,260250
89986,260880
89987,252330
89990,247298
89991,251850
89992,247290
89993,259190
89994,259170
89995,246580
89996,247660
89998,235585
89999,241540
90000,260000
90001,260080
90002,260020
90003,260040
90004,259980
90005,259960
90006,252730
90007,259940
90008,253570
90009,255160
90010,244090
90011,219830
90012,260060
90014,239550
90015,226620
90017,261420
90018,261421
90019,256050
90020,248820
90021,251990
90022,108600
90024,243280
90027,220825
90028,255870
90029,225340
90030,237620
90031,238273
90032,238271
90033,238272
90034,238270
90041,262141
90042,231480
90043,249110
90045,257750
90047,257770
90048,248370
90049,226667
90052,248630
90055,258366
90059,258371
90060,258010
90062,260950
90063,260470
90064,260473
90065,242050
90066,252070
90068,258950
90070,260472
90072,253370
90073,260471
90074,261700
90075,263100
90076,260730
90077,261940
90078,222608
90079,208370
90080,247370
90082,252710
90084,247302
90086,253770
90087,259600
90088,260710
90089,260690
90091,266940
90092,237619
90093,252250
90102,222621
90104,262940
90105,257050
90106,253110
90108,257990
90109,259060
90110,109600
90111,248170
90112,259830
90113,253410
90115,259510
90116,259470
90118,258388
90119,235400
90120,258390
90121,266930
90122,264802
90124,237090
90125,246840
90127,257120
90128,263800
90129,259680
90130,229310
90131,260190
90136,261392
90137,266740
90139,267600
90140,267610
90141,271100
90144,265090
90145,259122
90148,261397
90149,261394
90150,261396
90151,261395
90152,261398
90154,261399
90160,260650
90161,264240
90162,94400
90163,201040
90164,256510
90165,271010
90166,247305
90167,260210
90168,222613
90169,272700
90170,270700
90171,267900
90172,267920
90173,245050
90174,261740
90175,261820
90176,273290
90177,269150
90178,222880
90179,257630
90180,263560
90181,272690
90182,269210
90184,262790
90185,249570
90186,263320
90188,271550
90189,222627
90190,203358
90191,267980
90192,253790
90195,224480
90196,271962
90197,263880
90199,232990
90200,267720
90201,275350
90203,269230
90210,237890
90211,269570
90212,263300
90213,276440
90214,10270
90215,265690
90216,222582
90217,226672
90218,226673
90220,224040
90221,257870
90222,263460
90223,250180
90224,261960
90225,271820
90232,242920
90233,253750
90237,275810
90238,275830
90239,265890
90240,271900
90241,258760
90243,277721
90244,259250
90245,269030
90252,265610
90253,279160
90254,277590
90255,239250
90256,258813
90257,247000
90258,266170
90260,255750
90261,273760
90262,283530
90263,258812
90264,270310
90267,285550
90268,214550
90269,255280
90270,251470
90272,280640
90273,251510
90275,256230
90276,283550
90277,283551
90278,284700
90279,283552
90281,285800
90282,266010
90283,265870
90284,258180
90285,233150
90286,270330
90287,280560
90289,214932
90292,222639
90293,262390
90294,274980
90295,286970
90296,286971
90297,286972
90298,286960
90299,286964
90300,286961
90301,286962
90302,286966
90303,286963
90304,286965
90305,283880
90306,275330
90307,281560
90308,276380
90309,273150
90310,273151
90311,273152
90313,279420
90317,218820
90318,270050
90320,266370
90322,258645
90323,273380
90324,287740
90325,270650
90326,282880
90327,286460
90328,278481
90329,284710
90330,283370
90331,289340
90332,289380
90333,289440
90334,289480
90335,289280
90336,281341
90337,281340
90338,281342
90339,288040
90340,292320
90341,289600
90342,286320
90343,240970
90344,287020
90346,277430
90347,269110
90349,291150
90350,286500
90351,291290
90352,283560
90353,283040
90358,291450
90359,290280
90360,258851
90361,280680
90362,256525
90363,256524
90364,256526
90365,256527
90366,256555
90367,256549
90368,256552
90369,275163
90370,275804
90371,275807
90372,275809
90373,256554
90374,256532
90375,246680
90376,284000
90377,284020
90378,283920
90380,271570
90381,284950
90382,283960
90383,292880
90384,283940
90386,293420
90387,260130
90388,263540
90389,282760
90390,280380
90391,289800
90392,291270
90394,279480
90395,292160
90396,289360
90397,289220
90398,289460
90399,289200
90400,283270
90401,287091
90402,287090
90403,287094
90404,287095
90405,287092
90406,287093
90407,286340
90410,297570
90411,283660
90412,252570
90413,293960
90414,287720
90415,281280
90416,264080
90417,292390
90418,292410
90419,284830
90420,295770
90422,296210
90423,290406
90424,289890
90425,289320
90426,279500
90427,250640
90428,289730
90429,250300
90431,244830
90432,288500
90433,281220
90434,227780
90435,222628
90436,266050
90438,274880
90439,264060
90441,295730
90442,286100
90444,273300
90450,299070
90451,268540
90452,299100
90453,273600
90454,292760
90455,225600
90456,291900
90457,299140
90458,265630
90459,296530
90461,266490
90462,252690
90463,269330
90464,293320
90465,260160
90466,287200
90468,277820
90469,285420
90470,283620
90476,258652
90478,256505
90479,227060
90480,269790
90481,284790
90482,288690
90483,298680
90484,238460
90485,298140
90486,282100
90487,252550
90488,268520
90489,244450
90490,299170
90491,299180
90492,294720
90493,294670
90494,296450
90495,281601
90496,300910
90497,292260
90498,292800
90499,294540
90500,301190
90501,300510
90502,301150
90503,277510
90504,271850
90505,279520
90506,290990
90507,293880
90508,279540
90509,299240
90510,297150
90511,248570
90512,290460
90513,300540
90514,266030
90515,294310
90516,294311
90518,299820
90519,290040
90521,292981
90525,297790
90526,302460
90527,289240
90528,293860
90529,289180
90530,261110
90531,245620
90532,272990
90533,301700
90536,301200
90538,301690
90540,285050
90543,279560
90545,279622
90546,279620
90547,279621
90548,304400
90549,291473
90550,288520
90551,294750
90552,303940
90553,244950
90554,301180
90555,286380
90556,288650
90557,294690
90558,293920
90559,281602
90561,304491
90562,295630
90563,285110
90564,242760
90565,302470
90566,259041
90567,290770
90568,301250
90569,301360
90570,283020
90571,303410
90572,270510
90573,303730
90574,284770
90575,306200
90577,279260
90578,249610
90579,247730
90580,293940
90581,205090
90583,263120
90584,261530
90585,301460
90586,251020
90588,267680
90589,275170
90590,268750
90592,286360
90593,301740
90596,281750
90598,305780
90599,270570
90600,256190
90601,262900
90602,302290
90603,297490
90604,303790
90605,280040
90607,263040
90608,223830
90609,307640
90610,307090
90611,307390
90612,298280
90613,292930
90614,303470
90622,304290
90624,297100
90625,300320
90627,222570
90628,255260
90629,295430
90630,295437
90631,295436
90632,295434
90633,295433
90634,295432
90635,295431
90637,295435
90642,310260
90643,310280
90644,310240
90645,310300
90646,256390
90647,297960
90649,260309
90650,284580
90651,287370
90653,287371
90654,297950
90659,282090
90660,305181
90661,305182
90662,305187
90663,230230
90664,283230
90665,304020
90666,304213
90667,291480
90668,303880
90669,267771
90670,302790
90671,256529
90672,297590
90675,241240
90677,252830
90678,312020
90679,285960
90680,292910
90681,293840
90682,281060
90683,252750
90689,302120
90690,302730
90692,300360
90693,286730
90694,310830
90695,313960
90696,304500
90697,302390
90702,292180
90705,293900
90706,312220
90707,279623
90710,310070
90711,255420
90712,307800
90714,302590
90715,268850
90717,303590
90718,294280
90719,311040
90720,265141
90721,265142
90722,304350
90724,312680
90725,305183
90726,306480
90727,307990
90728,307930
90729,307920
90730,307770
90731,313040
90732,306180
90733,307900
90734,308300
90735,303840
90737,305490
90738,307500
90739,297290
90740,292620
90741,312290
90742,305010
90743,302170
90745,280890
90746,314380
90747,291370
90748,314290
90749,303910
90750,314400
90751,301600
90752,269890
90754,290260
90755,311860
90756,312970
90757,248310
90758,271942
90759,302270
90760,309940
90762,266470
90763,297840
90764,284450
90765,307290
90768,289020
90769,301420
90770,282092
90771,303860
90773,297512
90774,297513
90775,297510
90776,297511
90777,297515
90778,304082
90779,312350
90780,311480
90782,288160
90783,313980
90785,314230
90789,311550
90792,251150
90793,313650
90794,309872
90795,315940
90796,316710
90797,292200
90798,310870
90799,314250
90800,312990
90801,247950
90805,289021
90806,302750
90809,293740
90812,298520
90813,301660
90815,313280
90816,307980
90817,306240
90818,313620
90819,314320
90820,311100
90821,317380
90822,298480
90823,306620
90824,301680
90825,263960
90826,258653
90827,305920
90828,314020
90830,277736
90831,305186
90832,312510
90833,314360
90834,305980
90837,304170
90838,300040
90839,319180
90840,310390
90841,307340
90842,307350
90843,315920
90844,316867
90845,316864
90846,316865
90847,316866
90849,316863
90851,312690
90853,306950
90854,275390
90856,314460
90857,257710
90859,294440
90860,315550
90861,317970
90864,299260
90865,302210
90866,318440
90868,315650
90871,250700
90872,302190
90873,262850
90874,316740
90875,317350
90876,286690
90877,287390
90878,313830
90880,271943
90883,261760
90884,308380
90885,289022
90887,319300
90889,320110
90891,316140
90892,297880
90893,301900
90900,312010
90902,320020
90903,296590
90904,250400
90905,319820
90906,319821
90907,306890
90908,318310
90910,262750
90911,312640
90912,298830
90914,284500
90915,277732
90916,313430
90917,308080
90918,267774
90919,276870
90920,321030
90921,319320
90922,321600
90923,315151
90924,288470
90925,315150
90926,246940
90927,316720
90928,264400
90929,319550
90930,319270
90931,317410
90932,316810
90933,319560
90934,301893
90935,301894
90937,272510
90938,297370
90939,320410
90940,313190
90941,321610
90942,290730
90944,313311
90945,316970
90946,316500
90947,316510
90948,316541
90949,316540
90950,316530
90951,316542
90952,289130
90953,215080
90954,291960
90955,297120
90956,321710
90957,273030
90958,316950
90959,299230
90960,321420
90961,323530
90962,323510
90963,263520
90964,240760
90967,321190
90968,304480
90969,262920
90970,319250
90971,317290
90972,232890
90973,276750
90976,308180
90977,318770
90978,249190
90979,221540
90982,286220
90983,241260
90984,271944
90986,318550
90987,301895
90988,297841
90994,241930
90995,253610
90997,318500
90999,310700
91000,321870
91003,277748
91004,321510
91005,308171
91007,316700
91008,284890
91009,312610
91010,304460
91012,324110
91013,323290
91014,316964
91016,317580
91017,316320
91018,319080
91019,318350
91020,319400
91021,319170
91022,302690
91023,242640
91024,273110
91026,323430
91027,275180
91028,326170
91030,281450
91032,320650
91035,327740
91039,322130
91040,322980
91042,270190
91043,321480
91044,318750
91045,322750
91046,268050
91047,325090
91048,326390
91049,306396
91051,326960
91052,316180
91055,284750
91056,306660
91057,322990
91058,326230
91059,226580
91060,310990
91061,320690
91062,318401
91063,327950
91069,279580
91071,301970
91072,297990
91073,329180
91074,325141
91075,320720
91076,327260
91077,261161
91078,328780
91079,326431
91080,327530
91081,277751
91082,321370
91083,285090
