,genres
88569,Strategy
88570,Action
88571,Adventure
88572,Adventure
88573,Adventure
88574,Adventure
88575,"Casual, indie"
88577,Adventure
88578,Action
88579,"Action, adventure, racing, simulation, strategy"
88580,Adventure
88581,Action
88582,Action
88583,Adventure
88584,"Action, adventure"
88585,Adventure
88586,Strategy
88587,"Action, racing"
88588,Adventure
88590,Sports
88591,Adventure
88592,Action
88593,Adventure
88594,Action
88595,"Action, casual"
88596,"Simulation, strategy"
88597,Casual
88598,Action
88599,"Action, adventure"
88600,Action
88601,"Action, indie"
88602,"Adventure, rpg"
88603,"Indie, casual"
88604,Rpg
88605,Strategy
88606,Action
88609,Adventure
88610,Casual
88611,Casual
88612,"Adventure, indie"
88613,Action
88615,Strategy
88616,Simulation
88618,"Action, adventure"
88621,"Adventure, casual, indie"
88622,Simulation
88623,"Adventure, casual"
88624,Adventure
88625,Action
88626,Simulation
88627,Simulation
88628,Simulation
88629,Rpg
88630,Casual
88631,Strategy
88632,"Adventure, indie"
88633,Action
88634,Racing
88635,Rpg
88636,Strategy
88637,Strategy
88638,Strategy
88639,Action
88640,"Rpg, strategy"
88641,Adventure
88642,Strategy
88643,Adventure
88644,Strategy
88645,"Action, indie"
88646,"Action, rpg"
88647,Strategy
88648,Strategy
88650,"Action, indie"
88651,Adventure
88652,Rpg
88653,"Action, rpg, indie"
88654,"Indie, casual"
88655,Strategy
88656,Action
88657,Adventure
88658,Rpg
88659,Rpg
88660,Strategy
88661,"Indie, casual"
88662,Strategy
88663,"Indie, simulation, strategy"
88664,Simulation
88665,"Action, adventure, rpg"
88666,Action
88667,Action
88669,Rpg
88670,"Strategy, indie, simulation"
88671,Simulation
88672,Simulation
88673,Simulation
88674,"Casual, simulation"
88675,Casual
88676,"Action, adventure"
88677,"Action, indie, rpg"
88678,Simulation
88679,"Action, free to play, indie"
88680,Casual
88681,Casual
88682,Casual
88683,Casual
88684,Casual
88685,Casual
88686,"Strategy, casual"
88687,"Adventure, casual"
88688,Strategy
88689,Adventure
88691,"Action, indie, racing"
88692,Strategy
88693,Action
88694,Casual
88695,Action
88696,"Action, indie"
88697,Simulation
88698,"Action, rpg"
88699,Action
88700,"Action, indie"
88701,Action
88702,Action
88703,"Action, adventure"
88704,Indie
88705,"Action, casual, indie"
88706,Adventure
88707,"Simulation, strategy"
88708,Simulation
88709,"Adventure, indie"
88710,Action
88711,Action
88712,"Casual, indie"
88713,Casual
88714,"Casual, indie"
88715,Strategy
88716,Casual
88717,Casual
88718,Casual
88720,Casual
88721,Casual
88722,Casual
88723,Casual
88724,Casual
88725,"Action, adventure, casual"
88727,"Action, adventure"
88729,"Action, indie"
88730,Casual
88731,"Action, adventure"
88732,"Casual, indie"
88733,Action
88734,Action
88735,"Action, adventure, casual, rpg"
88736,Action
88737,Action
88738,Strategy
88739,Action
88740,Action
88741,Action
88743,Action
88744,Action
88745,"Action, rpg"
88746,Action
88747,Rpg
88748,"Strategy, indie"
88749,Rpg
88750,Rpg
88751,Rpg
88752,Action
88753,Rpg
88754,"Simulation, strategy"
88755,"Strategy, rpg"
88756,"Casual, indie"
88757,"Action, casual, indie"
88758,Strategy
88759,Rpg
88760,Action
88761,"Simulation, strategy"
88762,Strategy
88763,Simulation
88764,Strategy
88765,Action
88766,Simulation
88767,"Rpg, casual"
88768,Action
88769,Indie
88770,Indie
88771,Indie
88772,Indie
88773,Strategy
88774,Simulation
88775,Strategy
88776,"Indie, simulation, strategy"
88777,"Action, simulation, strategy"
88778,Strategy
88780,Indie
88781,Action
88782,Action
88783,Simulation
88784,Action
88785,Strategy
88786,Adventure
88787,Casual
88788,Action
88789,Action
88790,"Action, indie"
88791,Strategy
88792,"Action, adventure, indie"
88793,"Rpg, indie"
88794,"Action, casual, indie"
88795,"Action, simulation"
88796,Action
88797,Simulation
88798,"Indie, simulation"
88799,"Casual, indie"
88800,Strategy
88801,Action
88802,"Rpg, strategy"
88803,Simulation
88804,Strategy
88805,Strategy
88806,"Action, indie"
88807,"Indie, strategy"
88808,"Action, adventure"
88809,Action
88811,"Action, adventure"
88812,"Simulation, strategy"
88813,Strategy
88814,"Action, rpg, massively multiplayer"
88815,"Simulation, strategy"
88816,"Rpg, strategy"
88817,"Adventure, casual, simulation"
88818,"Adventure, casual, indie, simulation"
88819,"Rpg, strategy"
88820,"Rpg, strategy"
88821,Action
88822,"Indie, rpg, strategy"
88823,"Action, adventure"
88824,"Adventure, casual, indie"
88825,"Action, rpg"
88826,"Action, casual, indie"
88827,"Adventure, indie"
88828,"Indie, racing"
88829,Strategy
88830,"Action, indie, rpg"
88831,"Action, simulation"
88832,Casual
88833,Rpg
88834,Action
88835,"Action, adventure"
88838,Adventure
88840,Action
88841,Action
88842,"Action, indie"
88843,"Action, adventure, indie"
88844,Action
88845,"Action, casual"
88846,"Rpg, simulation, strategy"
88847,"Action, casual, indie"
88848,"Simulation, strategy"
88849,Casual
88850,"Adventure, indie"
88851,Strategy
88852,Action
88853,Action
88854,Casual
88855,Adventure
88856,"Casual, indie"
88857,"Strategy, indie"
88858,Action
88859,"Indie, casual"
88861,"Action, adventure, strategy"
88862,"Indie, casual"
88863,"Action, adventure, strategy"
88864,"Casual, indie"
88865,Adventure
88866,Action
88867,Action
88868,"Action, adventure"
88869,"Action, adventure"
88870,"Action, adventure"
88871,"Action, adventure"
88872,Action
88873,"Action, indie"
88874,"Action, indie"
88875,"Action, indie, strategy"
88876,Action
88877,"Adventure, casual"
88878,Adventure
88880,"Action, strategy, indie, sports"
88881,"Action, adventure, casual"
88882,Action
88883,Rpg
88884,Rpg
88885,Rpg
88886,Action
88887,Adventure
88888,Action
88889,"Action, adventure"
88890,Action
88892,Rpg
88893,Rpg
88894,Simulation
88895,Simulation
88896,Simulation
88897,Simulation
88898,Simulation
88899,Simulation
88900,Simulation
88901,"Casual, indie"
88902,Casual
88903,Simulation
88904,"Action, casual, indie"
88905,"Adventure, casual"
88906,Strategy
88907,Rpg
88909,Racing
88910,Rpg
88911,"Strategy, indie, simulation"
88912,Strategy
88913,"Rpg, strategy"
88914,"Indie, strategy"
88915,Rpg
88916,Strategy
88917,"Casual, strategy"
88918,"Action, indie"
88919,Action
88920,"Casual, indie, simulation, strategy"
88921,Indie
88923,Strategy
88924,Strategy
88925,Strategy
88926,Strategy
88927,"Free to play, massively multiplayer, rpg"
88928,Strategy
88929,"Indie, casual"
88930,Strategy
88931,Action
88932,Simulation
88933,Simulation
88934,Strategy
88935,Racing
88936,"Action, indie, strategy"
88937,Strategy
88938,Strategy
88939,"Strategy, rpg"
88940,"Action, indie"
88941,Strategy
88942,"Action, adventure"
88943,"Action, rpg"
88944,"Action, casual, indie, strategy"
88945,Strategy
88946,Strategy
88947,Strategy
88948,Strategy
88949,"Indie, strategy"
88950,Strategy
88951,"Adventure, indie, rpg"
88952,"Action, adventure"
88953,"Adventure, casual, indie"
88954,Simulation
88955,Simulation
88956,"Action, rpg"
88957,"Action, adventure"
88958,Adventure
88959,Adventure
88960,Action
88961,"Action, rpg"
88962,Action
88963,"Action, free to play"
88964,"Free to play, massively multiplayer, rpg"
88966,Strategy
88967,Simulation
88968,Strategy
88969,Indie
88970,Strategy
88971,"Indie, casual"
88972,"Action, casual, indie"
88973,"Strategy, indie"
88974,"Indie, casual"
88975,Strategy
88976,Strategy
88977,"Action, rpg"
88978,Strategy
88979,Action
88980,"Action, rpg"
88981,"Action, rpg"
88982,Simulation
88983,"Action, rpg"
88984,Strategy
88985,"Action, rpg"
88986,Racing
88987,Simulation
88988,Strategy
88989,Strategy
88990,Strategy
88991,Strategy
88992,Strategy
88993,"Strategy, rpg"
88994,Strategy
88995,"Adventure, casual"
88996,Action
88997,Strategy
88998,"Action, adventure, indie"
88999,"Action, rpg"
89000,Strategy
89002,"Indie, casual"
89003,Simulation
89004,Action
89005,"Adventure, indie, rpg"
89006,Strategy
89007,"Action, indie"
89008,"Adventure, strategy, rpg, indie"
89009,"Action, indie"
89010,Simulation
89011,Adventure
89012,"Action, simulation, strategy"
89013,"Casual, indie"
89014,"Simulation, strategy"
89015,Adventure
89016,Adventure
89017,"Indie, casual"
89018,Strategy
89019,"Action, indie"
89020,Strategy
89021,Strategy
89022,Indie
89023,Indie
89024,"Action, indie, rpg, strategy"
89025,Action
89026,Action
89027,Action
89028,Strategy
89029,"Action, rpg"
89030,"Adventure, casual, free to play, massively multiplayer, strategy"
89031,"Action, adventure, rpg"
89032,Action
89033,Strategy
89034,"Action, indie"
89035,Strategy
89036,"Action, indie"
89037,"Action, indie, racing, strategy"
89038,"Action, massively multiplayer, simulation"
89040,Simulation
89041,Strategy
89042,"Rpg, simulation, strategy"
89043,"Action, indie"
89044,Adventure
89045,Rpg
89046,"Action, indie"
89047,Action
89049,Strategy
89050,"Action, adventure, indie, rpg"
89051,Simulation
89052,"Racing, simulation"
89053,Strategy
89054,"Strategy, indie, casual, simulation"
89055,"Action, racing"
89056,"Strategy, indie, casual, simulation"
89057,"Strategy, indie, casual, simulation"
89058,Action
89059,"Action, simulation"
89060,"Strategy, indie, casual, simulation"
89061,"Action, adventure"
89062,"Action, adventure, rpg"
89063,Strategy
89064,"Casual, simulation, strategy"
89065,Simulation
89066,"Adventure, casual, rpg"
89067,Simulation
89068,"Strategy, indie, simulation"
89069,"Action, indie, rpg"
89071,"Casual, indie, strategy"
89072,"Simulation, strategy"
89073,Rpg
89074,"Action, indie"
89075,"Action, indie, strategy"
89076,"Action, rpg"
89077,"Action, adventure, free to play, massively multiplayer, rpg"
89079,"Simulation, strategy"
89080,Action
89081,Adventure
89082,"Action, indie, strategy"
89083,Action
89084,"Adventure, strategy"
89085,"Adventure, strategy"
89086,Strategy
89088,"Action, indie"
89091,"Strategy, rpg, indie"
89092,"Indie, casual"
89093,"Action, rpg"
89094,"Indie, racing"
89095,"Action, rpg"
89096,Strategy
89097,Strategy
89098,"Action, rpg"
89099,Strategy
89101,Strategy
89103,Strategy
89104,Simulation
89105,"Action, free to play, massively multiplayer"
89106,"Adventure, indie"
89108,Strategy
89109,Action
89110,Racing
89111,Action
89112,"Action, rpg, indie"
89113,"Simulation, strategy"
89114,Action
89115,Strategy
89116,Action
89117,Action
89118,"Casual, indie, rpg"
89119,Action
89120,Strategy
89121,Action
89123,"Action, simulation"
89124,"Action, adventure, indie"
89125,"Action, rpg, indie"
89128,"Action, indie"
89129,"Action, adventure, rpg"
89130,Action
89131,"Casual, strategy"
89132,"Action, rpg, indie"
89133,Action
89134,Action
89135,Action
89136,Action
89137,Action
89138,Action
89139,Action
89140,Action
89142,Action
89145,Action
89146,"Indie, strategy"
89147,Simulation
89148,"Rpg, strategy"
89149,"Strategy, rpg"
89150,"Action, indie"
89151,"Action, indie, rpg"
89152,"Free to play, massively multiplayer, rpg"
89153,"Action, rpg, indie"
89154,"Action, rpg, indie"
89155,"Rpg, simulation, strategy"
89156,"Action, indie"
89157,Strategy
89158,"Action, casual, indie"
89160,"Casual, indie, racing"
89161,"Action, casual, indie"
89164,"Action, indie"
89165,"Rpg, simulation, strategy"
89166,Strategy
89167,Strategy
89168,"Action, indie"
89170,"Action, adventure"
89171,Simulation
89172,"Action, rpg"
89173,Action
89174,"Rpg, simulation"
89176,"Action, free to play, indie, massively multiplayer, rpg"
89177,Strategy
89178,Action
89179,"Adventure, casual"
89180,"Adventure, indie"
89181,"Action, adventure"
89182,"Action, adventure"
89185,Simulation
89186,Simulation
89187,"Action, indie, strategy"
89188,"Casual, indie, strategy"
89189,"Action, indie, casual"
89190,"Action, adventure"
89191,Simulation
89192,"Adventure, indie"
89193,"Casual, indie"
89194,Simulation
89195,Simulation
89196,"Action, adventure, indie"
89197,Strategy
89198,Simulation
89199,"Casual, indie, strategy"
89200,"Action, rpg, indie"
89202,"Strategy, rpg, indie"
89203,"Indie, strategy"
89204,"Adventure, casual"
89205,"Strategy, rpg, indie"
89206,"Action, indie, casual"
89207,"Action, adventure, rpg"
89208,Simulation
89209,"Adventure, indie, strategy"
89210,Action
89211,"Action, indie"
89212,"Action, adventure, indie"
89213,"Action, rpg"
89214,Strategy
89215,Adventure
89216,"Action, indie"
89217,"Casual, strategy"
89218,"Adventure, casual"
89219,"Adventure, casual"
89220,"Simulation, strategy"
89221,"Casual, indie"
89222,Simulation
89223,"Strategy, rpg, indie"
89224,Racing
89225,"Indie, strategy"
89226,"Action, rpg, strategy"
89227,Simulation
89228,"Casual, indie, rpg"
89229,"Strategy, rpg, indie"
89230,Indie
89231,"Indie, casual"
89232,"Indie, simulation, strategy, early access"
89233,Action
89234,"Strategy, simulation"
89235,Rpg
89236,"Action, strategy, rpg, indie"
89238,"Action, adventure"
89239,Action
89240,Indie
89241,"Action, casual, simulation, strategy"
89243,Strategy
89244,Action
89252,Simulation
89253,"Casual, indie, strategy"
89255,Simulation
89256,"Rpg, simulation, strategy"
89257,"Action, indie"
89258,"Action, indie"
89259,Adventure
89260,"Casual, indie"
89261,Simulation
89262,Simulation
89263,Action
89264,"Action, indie, rpg"
89265,"Indie, simulation, strategy"
89266,Simulation
89267,"Casual, indie, strategy"
89268,"Casual, indie, strategy"
89269,Simulation
89270,Simulation
89271,"Action, adventure, rpg"
89272,"Strategy, rpg, indie"
89273,Action
89274,Action
89275,Action
89276,Action
89277,"Action, indie"
89279,"Free to play, massively multiplayer, rpg"
89280,"Indie, casual"
89281,Indie
89282,"Action, adventure, indie, rpg, strategy"
89283,"Action, adventure"
89284,"Casual, strategy"
89285,"Action, adventure, free to play, massively multiplayer, rpg"
89286,Action
89287,Action
89288,"Indie, rpg"
89289,"Adventure, indie"
89290,"Massively multiplayer, rpg"
89291,"Action, adventure, free to play, massively multiplayer, rpg"
89292,Action
89293,Strategy
89294,Strategy
89295,"Casual, strategy"
89296,"Action, free to play"
89297,Action
89298,Rpg
89299,Strategy
89300,"Action, indie"
89301,"Action, indie, casual"
89302,"Rpg, indie"
89304,Strategy
89305,Strategy
89306,Action
89307,Strategy
89308,Strategy
89311,Action
89312,Action
89313,Action
89314,Action
89315,"Rpg, strategy"
89316,Action
89317,Action
89318,Action
89319,Action
89320,Action
89321,Action
89322,Action
89323,Action
89324,Action
89325,Action
89326,Action
89327,Action
89328,Action
89329,Action
89330,Action
89331,Action
89332,"Action, indie"
89333,Adventure
89334,Strategy
89335,Adventure
89336,Strategy
89337,Action
89338,"Action, indie, strategy"
89339,Action
89340,"Casual, indie"
89341,Action
89342,"Casual, indie, strategy"
89343,"Action, racing"
89344,Simulation
89345,Action
89346,Simulation
89347,Action
89348,"Indie, strategy"
89349,Simulation
89350,"Action, strategy"
89351,Action
89352,Action
89354,"Action, indie, simulation, strategy"
89355,Action
89357,Rpg
89358,"Action, indie, rpg"
89359,"Indie, casual"
89360,Simulation
89361,Simulation
89362,Simulation
89363,Action
89364,Action
89365,Action
89366,Action
89367,Action
89368,Indie
89369,Action
89370,Action
89371,Action
89372,Action
89373,Action
89374,Action
89375,Action
89376,Action
89377,Indie
89378,"Action, adventure"
89379,"Adventure, indie, rpg"
89380,"Action, indie"
89381,Action
89382,"Action, indie, casual"
89383,Strategy
89384,"Action, simulation"
89385,Action
89386,Strategy
89387,"Action, indie, strategy"
89388,"Action, indie, strategy"
89389,"Action, indie, strategy"
89390,"Action, indie, strategy"
89391,"Action, indie, strategy"
89392,"Action, indie, strategy"
89393,"Rpg, strategy"
89394,Action
89395,Action
89396,Action
89397,Action
89398,Action
89399,Action
89401,Adventure
89402,Action
89403,"Action, strategy"
89404,Animation &amp; modeling
89405,"Action, indie"
89406,"Action, indie, strategy"
89407,Action
89408,"Action, indie"
89409,"Action, rpg"
89410,Strategy
89411,Strategy
89412,Strategy
89413,Strategy
89414,Strategy
89415,"Casual, simulation"
89416,Strategy
89417,Strategy
89418,"Adventure, indie"
89419,Action
89420,"Action, rpg"
89421,"Action, racing"
89422,"Action, adventure"
89423,"Action, strategy, rpg, indie"
89424,Strategy
89425,"Casual, simulation"
89426,"Casual, simulation"
89427,"Casual, simulation"
89428,"Casual, simulation"
89429,"Casual, simulation"
89430,"Casual, simulation"
89431,"Casual, simulation"
89432,"Casual, simulation"
89433,"Casual, simulation"
89434,"Casual, simulation"
89435,"Casual, simulation"
89436,"Casual, simulation"
89437,"Casual, simulation"
89438,"Casual, simulation"
89439,"Casual, simulation"
89440,"Casual, simulation"
89441,"Casual, simulation"
89442,"Casual, simulation"
89443,"Casual, simulation"
89444,"Casual, simulation"
89445,"Casual, simulation"
89446,"Casual, simulation"
89447,"Casual, simulation"
89448,"Casual, simulation"
89449,"Casual, simulation"
89450,"Casual, simulation"
89451,"Adventure, indie"
89452,"Indie, strategy"
89453,"Action, indie"
89454,"Casual, simulation"
89455,"Casual, simulation"
89456,"Action, indie"
89457,"Simulation, strategy"
89458,"Strategy, casual"
89459,Strategy
89460,"Action, indie"
89462,"Action, adventure"
89463,"Action, adventure"
89464,"Action, adventure, strategy, rpg, indie"
89465,"Action, adventure, indie, simulation"
89466,Action
89467,Rpg
89468,"Action, rpg"
89469,Rpg
89470,"Casual, simulation"
89471,"Casual, simulation"
89472,"Action, adventure, indie"
89474,Racing
89475,"Adventure, indie"
89476,"Indie, strategy"
89477,"Action, free to play, massively multiplayer"
89478,Strategy
89479,Strategy
89480,"Strategy, indie, simulation"
89481,"Action, indie"
89482,"Action, adventure, indie"
89483,"Action, indie, simulation"
89484,Adventure
89485,Action
89486,Action
89487,Action
89488,Action
89489,"Action, adventure"
89490,"Action, adventure"
89491,Racing
89492,"Action, adventure"
89493,Racing
89494,Racing
89495,Racing
89496,Racing
89497,"Rpg, strategy"
89498,Action
89499,Action
89500,Action
89501,Action
89502,Action
89503,Action
89504,Simulation
89505,Simulation
89506,Simulation
89507,Strategy
89508,Strategy
89509,Strategy
89510,Strategy
89511,Strategy
89512,Simulation
89513,"Action, adventure, indie"
89514,"Action, indie"
89515,Action
89516,"Action, indie"
89517,"Racing, simulation, sports"
89518,Simulation
89519,"Adventure, indie"
89520,"Adventure, indie"
89521,"Strategy, casual"
89522,"Strategy, casual"
89523,"Action, adventure, casual, free to play, massively multiplayer, rpg, simulation"
89524,"Strategy, indie, casual"
89525,"Action, adventure"
89526,"Action, adventure"
89527,"Action, adventure"
89528,Simulation
89529,"Action, simulation, strategy"
89530,"Action, adventure"
89531,"Action, simulation, strategy"
89532,"Casual, simulation"
89533,"Adventure, indie"
89534,"Casual, simulation"
89535,Adventure
89536,Simulation
89537,"Rpg, strategy"
89538,Strategy
89539,Strategy
89540,Action
89541,"Simulation, strategy"
89542,"Casual, simulation"
89543,"Casual, simulation"
89544,"Casual, simulation"
89545,"Casual, simulation"
89547,Rpg
89548,Simulation
89549,"Indie, casual"
89550,"Adventure, casual"
89551,Racing
89552,Racing
89553,"Action, indie"
89554,Racing
89555,Strategy
89556,Simulation
89557,"Action, strategy, casual"
89558,"Action, strategy"
89559,"Indie, strategy"
89560,"Strategy, indie, simulation"
89561,"Casual, simulation"
89562,"Rpg, strategy"
89563,Action
89564,"Action, rpg"
89565,"Action, rpg"
89566,"Indie, strategy"
89567,"Action, rpg"
89568,"Action, rpg"
89569,"Action, rpg"
89570,"Action, rpg"
89571,"Action, indie, simulation"
89572,"Action, indie, simulation"
89573,Adventure
89574,"Action, simulation"
89575,"Action, indie"
89576,"Action, adventure"
89577,"Strategy, indie"
89578,"Action, indie"
89579,"Casual, indie"
89581,Simulation
89582,"Casual, simulation"
89583,"Casual, simulation"
89584,"Casual, simulation"
89585,"Casual, simulation"
89586,"Casual, simulation"
89587,Action
89588,Action
89589,Action
89590,Simulation
89591,Action
89592,Action
89593,"Rpg, strategy"
89594,"Action, indie"
89595,"Simulation, strategy"
89596,"Action, adventure, indie, strategy"
89597,"Casual, indie, strategy"
89598,"Casual, simulation"
89599,"Casual, simulation"
89600,"Casual, simulation"
89601,"Simulation, strategy"
89603,"Casual, simulation"
89604,"Casual, simulation"
89605,"Casual, simulation"
89606,Action
89607,"Rpg, web publishing"
89608,"Casual, simulation"
89610,Simulation
89611,"Casual, simulation"
89612,"Casual, simulation"
89613,"Casual, simulation"
89614,Action
89615,"Casual, simulation"
89616,Action
89617,"Action, free to play, massively multiplayer, rpg"
89618,"Action, indie"
89619,"Adventure, casual, indie, rpg, simulation"
89620,"Adventure, indie, simulation"
89621,"Action, adventure, indie"
89622,Strategy
89623,"Action, indie"
89624,Simulation
89625,"Action, racing"
89626,Indie
89627,"Action, free to play, indie, strategy"
89628,"Action, indie"
89629,"Action, adventure"
89630,"Action, adventure"
89631,"Indie, casual"
89632,"Action, indie, simulation"
89633,"Action, adventure, indie"
89634,"Action, adventure"
89635,"Action, adventure"
89636,"Action, adventure"
89637,"Action, adventure"
89638,"Action, adventure"
89639,"Action, adventure"
89640,"Action, adventure"
89641,"Action, adventure"
89642,Action
89643,"Action, adventure"
89644,"Adventure, indie, rpg"
89645,"Action, adventure"
89646,Simulation
89647,"Indie, simulation, sports, strategy"
89648,"Action, adventure, indie, rpg, strategy"
89649,Simulation
89650,"Action, strategy, indie, casual"
89651,"Indie, strategy"
89652,"Action, strategy, indie"
89653,"Action, indie, strategy"
89654,Action
89655,Action
89656,Action
89657,Simulation
89658,Action
89659,"Adventure, indie"
89660,"Adventure, indie"
89661,Action
89662,"Action, indie, simulation"
89663,"Rpg, simulation, strategy"
89664,Massively multiplayer
89665,Action
89666,"Indie, strategy"
89667,Action
89668,Strategy
89669,Action
89670,Strategy
89671,"Action, rpg"
89672,"Casual, sports"
89673,"Indie, strategy"
89674,"Action, adventure"
89675,"Action, indie, strategy"
89676,"Action, adventure, indie"
89677,"Education, software training, utilities, web publishing"
89679,"Action, adventure"
89680,"Action, adventure"
89681,"Action, adventure"
89682,"Action, indie, strategy"
89683,"Action, adventure"
89684,Simulation
89685,"Indie, simulation, strategy"
89686,Action
89687,"Action, adventure, casual"
89688,"Action, indie"
89689,"Action, indie, simulation"
89690,"Action, strategy, indie"
89691,"Action, adventure"
89692,"Design &amp; illustration, web publishing"
89693,Strategy
89694,Strategy
89695,Strategy
89696,Action
89697,Action
89698,Action
89699,"Casual, simulation"
89700,Action
89701,"Design &amp; illustration, web publishing"
89702,"Action, adventure"
89703,"Action, adventure"
89704,"Action, adventure"
89705,"Action, adventure"
89706,"Action, adventure"
89707,"Action, indie"
89708,"Indie, strategy"
89709,"Design &amp; illustration, web publishing"
89710,Casual
89711,"Action, strategy, indie"
89712,Simulation
89713,"Casual, simulation"
89714,"Indie, rpg"
89715,"Casual, indie, simulation, strategy"
89716,"Casual, indie, rpg, strategy"
89717,Strategy
89718,Strategy
89719,Strategy
89720,Strategy
89721,Strategy
89722,Simulation
89723,"Action, indie, strategy"
89724,"Indie, strategy"
89725,Simulation
89726,Action
89727,Simulation
89728,"Action, indie, strategy"
89729,"Indie, rpg"
89730,"Action, adventure, rpg"
89731,Strategy
89732,Strategy
89733,Strategy
89734,Strategy
89735,Action
89736,Strategy
89737,"Action, rpg"
89738,Action
89739,Simulation
89740,"Action, casual, indie, strategy"
89741,Strategy
89742,Strategy
89743,Strategy
89744,Strategy
89745,"Action, adventure, indie"
89746,"Action, rpg"
89747,"Action, rpg"
89748,"Action, rpg"
89749,"Action, rpg"
89750,Strategy
89751,"Action, rpg"
89752,Strategy
89753,"Action, rpg"
89754,"Action, rpg"
